Kg4,a5, Kf4,a4, Kg4,a3, Kf4,a2, Kg4,a1=Q, Kh4,Qa4+, Kh5,Qg6#  {White checkmated} 0-1
Kf6,h2, Ke7,h1=Q, Kf6,Qf1+, Ke7,Qe3+, Kd6,Qe6+, Kc7,Qff7+, Kb8,Qee8#  {White checkmated} 0-1
Kh1,Kxg5, Kh2,Kg4, Kh1,Kg3, Kg1,Ra3, Kf1,Ra2, Ke1,h2, Kd1,h1=R#  {White checkmated} 0-1
fxe4,Rab8, Qxa7,fxe4, Rxf8+,Rxf8, Qb7,Qf5, Bd2,Qf2+, Kh1,Qf1+, Rxf1,Rxf1#  {White checkmated} 0-1
Ke5,g1=Q, Ke4,Qe1+, Kd3,Rd7+, Kc4,Qc1+, Kb5,Rb7+, Ka6,Qb2, Ka5,Qb5#  {White checkmated} 0-1
g4,g6, h4,Rxh5, gxh5,Qxh4, hxg6,Rg7, f4,Rxg6+, Kf1,Qh2, Qxb7,Rg1#  {White checkmated} 0-1
g5,Ng4, g6,hxg6, Rxe6,Rf2, Qxf2,Rxf2, Re8+,Kh7, Rh8+,Kxh8, Bc3,Qxh2#  {White checkmated} 0-1
Kd3,g2, Kd4,g1=Q+, Kd3,Rg3+, Kc4,Qc1+, Kb4,Rc3, Ka5,Qb2, Ka6,Ra3#  {White checkmated} 0-1
Ke6,Ke4, Kf6,Re5, Kf7,Kf5, Kf8,Kf6, Kg8,Re8+, Kh7,Ra8, Kh6,Rh8#  {White checkmated} 0-1
f6,Rf5+, Kg6,Rxf6+, Kxf6,c1=R, Ke6,Rc6+, Kd7,Kd5, Kd8,Ke6, Ke8,Rc8#  {White checkmated} 0-1
Kb6,Qd5, Kc7,Kc4, Kb6,Qd6+, Kb7,Kb5, Kc8,Qe7, Kb8,Kb6, Kc8,Qc7#  {White checkmated} 0-1
Qe7+,Kg8, Qxd6,Qf1+, Kxg3,Qf2+, Kh3,Rf3+, Kg4,Qg2+, Kh4,Qh3+, Kg5,Qh5#  {White checkmated} 0-1
