274023582, Qh5,Re8, Qxf7+,Kh8, f4,Nf5, Rf3,Rf8, Rh3+,Nh6, Rxh6+,gxh6, Qh7#,{Black checkmated} 1-0
274023387, Rxf3,Qe7, Raf1,Qc5+, Kh1,Ne5, Rxf7,Qg1+, Kxg1,Nf3+, R7xf3,d5, Rf8#,{Black checkmated} 1-0
274023294, Kxg2,Rd2+, Kf3,Rd3+, Ke2,Rd7, Rhxd7,Nc6, Rdc7,Nd8, Rb8,a5, Rxd8#,{Black checkmated} 1-0
274022310, bxc3,Nxf5, Bg4,Nxe3, fxe3,Rxf1+, Rxf1,b6, Be6+,Kg7, Rf7+,Kg8, Qxh7#,{Black checkmated} 1-0
274021813, Qxf4,h5, Qf7+,Kh8, Qf8+,Kh7, Nf7,g5, Qh6+,Kg8, Nxg5,a4, Qh7#,{Black checkmated} 1-0
274020842, Qh5,Rxg5, Qh3,Nf6, Rxf6,Bxf6, Bg6+,Rh5, Qxh5+,Kg8, Qh7+,Kf8, Qf7#,{Black checkmated} 1-0
274016920, gxh7+,Rxh7, Nxh7,Rxh7, Qg6+,Kf8, Qxh7,Ke8, Bd6,Kd8, Nxe6+,Kc8, Qc7#,{Black checkmated} 1-0
274015555, fxg6,Nxg6, c5,Nh8, c6,Ng6, Bxf7+,Kf8, Bxg6,b5, c7,Kg8, c8=Q#,{Black checkmated} 1-0
274014664, h8=Q,Ke6, Qh6+,Kd5, Rxf5+,Kc4, Qc6+,Kd3, Rd5+,Ke2, Qc2+,Kf1, Rd1#,{Black checkmated} 1-0
274013111, h8=Q,Kd5, Qd7+,Ke4, g6,Ke3, g7,Ke4, g8=Q,Ke3, Qhh3+,Ke4, Qff5#,{Black checkmated} 1-0
274012369, Kg6,Kg8, h7+,Kh8, Kh6,Be4, Be6,Bd5, f7,Bxe6, f8=Q+,Bg8, Qxg8#,{Black checkmated} 1-0
274012126, Kg6,Rf8, h6,Rd8, h7+,Kh8, Re7,Rc8, f7,Rf8, Re8,a5, Rxf8#,{Black checkmated} 1-0
274006743, Qe4+,Kg3, Qf5,Kg2, Ke4,Kg3, Qf3+,Kh4, Qg2,Kh5, Kf5,Kh6, Qg6#,{Black checkmated} 1-0
274006196, O-O,e6, f5,Bxc1, Qxc1,O-O, f6,c5, Qh6,Nxf6, exf6,Qb6, Qg7#,{Black checkmated} 1-0
274005700, Rxb5,Kf8, Rb7,h5, Rc7,g5, b5,h4, b6,g4, b7,Kg8, b8=R#,{Black checkmated} 1-0
274004730, Qg3,g6, Nxg6,Qf5, Nh4+,Qg6, Nxg6,Rd8, Ne5+,Kf8, Qg7+,Ke8, Qf7#,{Black checkmated} 1-0
274001753, Bd2,c5, b5,c4, Bf5,g6, Bxg6,c6, Qxh6,Qh4, Rxh4,fxg6, Qh7#,{Black checkmated} 1-0
274000794, e6,Kg8, e7,Kg7, e8=Q,Kh6, Qg8,Kh5, Ke6,Kh6, Kf5,Kh5, Qh7#,{Black checkmated} 1-0
273999090, Rf4,Kg6, Qf7+,Kh6, Rh4+,Kg5, Qf4+,Kg6, Rh6+,Kg7, Qf6+,Kg8, Rh8#,{Black checkmated} 1-0
