Handle, BlitzRating, BlitzRD, BlitzWon, BlitzLost, BlitzDrawn, BlitzTotal
ntwochess(C), 2204, 136.6, 150, 7, 5, 162
Obnoxious(C), 2823, 108.8, 2029, 803, 867, 3699
oldman(C), 2431, 38.2, 5357, 3282, 1154, 9793
Osquip(C), 1245, 106.0, 523, 847, 114, 1484
parrot(C), 2050, 28.5, 75511, 30094, 7822, 113427
PawnyX(C), 2243, 63.4, 226, 123, 48, 397
Pentiumpatzer(C), 2141, 102.1, 98, 149, 29, 276
plink(C), 2085, 45.3, 27103, 2111, 691, 29905
plisk(C), 2136, 112.0, 3427, 269, 142, 3838
Plnik(C), 2224, 52.6, 4636, 483, 121, 5240
PopperX(C), 2789, 75.8, 515, 8, 33, 556
Prolegomena(C), 2748, 102.7, 1195, 266, 388, 1849
qgchess(C), 1901, 109.8, 5887, 935, 327, 7149
qxeacwzd, 2273, 155.9, 6, 11, 1, 18
Rakanishu(C), 2678, 151.6, 460, 3, 12, 475
resistentialism(C), 2502, 90.9, 37, 63, 19, 119
Robonitemove, 1813, 286.3, 4, 0, 0, 4
RoboSigma(C), 2224, 54.1, 250, 22, 15, 287
Robowawoy, 2676, 156.0, 540, 606, 394, 1540
Rookie(C), 2301, 25.6, 44896, 10564, 4854, 60314
Scomb(C), 2043, 70.4, 3494, 157, 121, 3772
Scorpio, 2262, 207.4, 3, 3, 1, 7
searcherFICS(C), 2415, 23.4, 1963, 609, 1096, 3668
SigmaC(C), 2103, 107.6, 35, 18, 8, 61
SiliconC(C), 2389, 79.0, 14480, 1272, 709, 16461
Sillycon(C), 2051, 28.0, 14414, 3232, 777, 18423
Singularity(C), 2807, 29.3, 28606, 392, 1136, 30134
SjengX(C), 2756, 123.1, 28, 3, 12, 43
Skottel(C), 1907, 47.3, 3193, 612, 199, 4004
SlowBox(C), 2035, 40.9, 896, 1740, 358, 2994
Sorgenkind, 2164, 141.0, 1047, 80, 65, 1192
SpeckEngine(C), 1771, 43.7, 21593, 20663, 2038, 44294
Speyside(C), 1986, 31.2, 5010, 675, 278, 5963
SpyderChess(C), 2893, 34.4, 1158, 386, 670, 2214
Squirrels(C), 2209, 49.2, 1803, 579, 297, 2679
strelka(C), 2122, 67.2, 11986, 1107, 215, 13308
SuperBooker(C), 2117, 98.8, 1559, 1244, 469, 3272
SuperZerdax(C), 1646, 137.1, 4439, 5904, 885, 11228
Telepath(C), 2273, 139.9, 42, 10, 8, 60
tentacle(C), 2095, 35.8, 15224, 2777, 888, 18889
TestOfLogics(C), 2099, 93.8, 8367, 1603, 523, 10493
TheConfusedComp(C), 2606, 73.2, 1035, 293, 294, 1622
Thinker(C), 2840, 51.8, 386, 86, 196, 668
Thukydides(C), 2312, 56.3, 5411, 1634, 503, 7548
TimeaChess(C), 2059, 31.6, 3130, 593, 203, 3926
TinkerFICS(C), 2260, 52.8, 7614, 871, 347, 8832
TJchess(C), 2282, 95.5, 1335, 162, 69, 1566
TogaII(C), 2575, 153.5, 3038, 1328, 1162, 5528
TogaRouter(C), 2015, 43.0, 7645, 3975, 1407, 13027
Tosco(C), 1156, 84.6, 235, 424, 53, 712
TurboGM(C), 2247, 117.1, 78, 69, 47, 194
TwistedLogicX(C), 2488, 134.4, 939, 1307, 730, 2976
twoxone(C), 2205, 60.7, 1018, 287, 77, 1382
VariantsMaster, 1965, 307.7, 1, 1, 1, 3
VictoriaBot(C), 1782, 44.1, 3240, 1998, 703, 5941
Vogen(C), 2476, 155.0, 1619, 109, 94, 1822
Webkikr(C), 2764, 51.2, 589, 105, 212, 906
wkw, 2591, 125.6, 688, 1342, 543, 2573
XabacUs(C), 2092, 47.6, 516, 282, 39, 837
ynode(C), 1838, 48.2, 1984, 837, 120, 2941
Zawaenn(C), 2201, 39.0, 7141, 301, 106, 7548
Zchizophrenic(C), 2263, 69.4, 353, 92, 23, 468
zerowin(C), 2438, 21.2, 928, 1645, 1086, 3659
