274013938, Nxa4,bxa4, Bxa4,Rxd6, Qe2,Bb7, Ne5,Qe7, Ng4,Bxg2, Bxf6,Qb7, Nh6#,{Black checkmated} 1-0
274013806, Qc2,Bc3+, Bd2,Nxd2, Nxd2,Bxd2+, Qxd2,Qe5+, Be2,hxg5, Qc2,Qd4, Qh7#,{Black checkmated} 1-0
274013671, Qf7+,Rg7, Qxe6,Rxe7, Qxe7+,Kh8, Nxb2,a5, Rd1,a4, Rxd5,axb3, Rd8#,{Black checkmated} 1-0
274013545, Bxf6,Qxc3+, Nd2,O-O, Rc1,Qxd4, Qe2,c5, Qe3,Nc6, Qh6,Nxe5, Qg7#,{Black checkmated} 1-0
274013457, e4,O-O, e5,b4, Ne2,Be7, exf6,Nxf6, Bc2,Nd5, Qd3,h6, Qh7#,{Black checkmated} 1-0
274013380, Qxe4,c6, Qxc6,Ra7, b3,Rc7, Qb6,Rc3, Ba3,Qxa3, Rxa3,Rc2, Qd8#,{Black checkmated} 1-0
274012834, Nd6+,Kd8, Nxc8,Kxc8, Qd6,Kb7, Rad1,Ka8, Qxd7,h4, Qe7,h3, Rd8#,{Black checkmated} 1-0
274012706, d4,O-O, Bf4,Nxe5, Bxe5,Qe7, Nd2,a6, Nxe4,axb5, Qg3,dxe4, Qxg7#,{Black checkmated} 1-0
274012472, Qf8+,Ka7, Nd8,Rxh2, Qe7,Rh3+, Kf4,Rf3+, Kg5,Rg3+, Kh4,Rxc3, Qxb7#,{Black checkmated} 1-0
274011988, h7,Kd6, Bc8,Kc6, h8=Q,Kxc7, Qh5,Kxc8, Rg6,Kb8, Qh7,Ka8, Rg8#,{Black checkmated} 1-0
274011808, h6,Kh5, g7,Kh4, g8=Q,Kh5, Qg6+,Kh4, Kg7,Kh3, h7,Kh4, h8=Q#,{Black checkmated} 1-0
274011131, cxd5,Nc7, d6,Qf6, dxc7,Qe6, Rd8,g5, c8=Q,Qxc8, Rxc8,gxf4, Qg6#,{Black checkmated} 1-0
274010956, Rg3,Nxe3, Qxe3,Rb2, Qxh6,Bf6, Qxf6,g6, fxg6,fxg6, Qxg6+,Kh8, Qg7#,{Black checkmated} 1-0
274010404, Qh5,Bd3, Rae1,b4, Re8+,Rxe8, Rxe8+,Kg7, Bd6,Bf5, Bf8+,Kh8, Bh6#,{Black checkmated} 1-0
274010242, Qd4+,Rd6, Qg4+,Kc6, Rxa5,b5, a4,bxa4, Qxa4+,Kb7, Qb5+,Kc8, Ra8#,{Black checkmated} 1-0
274010124, hxg6,fxg6, Qh3,Nh5, g4,Nf6, Bg5,Rf7, Nf4,Kh8, e5,Nxd5, Qxh7#,{Black checkmated} 1-0
274009965, g4,Ne7, Qg3,Nd5, Rac1,a5, Bc5,a4, Bd4,a3, Qe5,Ra6, Qxg7#,{Black checkmated} 1-0
274009406, Qa5,Qc8, Qb6,e6, dxe6,fxe6, Rxe6+,Qxe6, Qxc7,Qxa2, Re1+,Be7, Qxe7#,{Black checkmated} 1-0
274009266, Ke3,Kb7, Kd4,Ka7, Kc5,Kb7, Qg6,Kb8, Qf7,Ka8, Kb6,Kb8, Qe8#,{Black checkmated} 1-0
274008891, cxd3,Rxb2, Rc1,c6, dxc6,bxc6, Rxc6,Rxa2, Re5,Rxe5, Rc8+,Re8, Rxe8#,{Black checkmated} 1-0
274008754, Kd5,Ka7, Kxc5,Ka8, Qc6+,Ka7, Qb6+,Ka8, Qb5,Ka7, Kc6,Ka8, Qb7#,{Black checkmated} 1-0
274007587, Ke5,Kd7, Ra6,Ke7, Kd5,Kd7, Ke5,Ke7, Ra7+,Ke8, Kd6,Kd8, Ra8#,{Black checkmated} 1-0
274007356, h7,Rgf8, Bh6,R8f7, Rg1,Rxh7, Bxh7,Kxh7, Be3+,Bh4, Bxf2,Nxb4, Rxh4#,{Black checkmated} 1-0
274007167, Rac1,Bxe5, fxe5,Qe7, Bb4,Qxb4, Qxc7+,Ke8, Qxf7+,Kd8, Qxg7,Re8, Qc7#,{Black checkmated} 1-0
274006966, Bc3,Ra8, Nf3,Rxf3, Bxf3,b5, Qg3,Bd6, Rdg1,Qf8, Qxg5,Qxf3, Qg7#,{Black checkmated} 1-0
274006832, Nh4,Bh5, Be2,Bxe2, Qxe2,Nd4, Qh5,c6, Nf5,cxd5, Qxh7+,Kf8, Qh8#,{Black checkmated} 1-0
274006669, g5,Nd7, g6,fxg6, hxg6,h6, Qh3,Nf6, Bxh6,gxh6, Qxh6,Rad8, Qh8#,{Black checkmated} 1-0
274006569, Bxb4,cxb4, Bb5+,Bc6, Bxc6+,Qxc6, Qxa7,Ne4, Rd1,Nc3+, bxc3,Qxf3, Qb8#,{Black checkmated} 1-0
274004796, Ke2,Re1+, Kxe1,f4, exf4,e3, a8=Q,Kg6, Qc6+,Kh7, Ra7+,Kh8, Qc8#,{Black checkmated} 1-0
274002733, a4,Ka7, Ke7,Ka8, Qd6,Ka7, Ne5,Ka8, Nc6,Kb7, Qd7+,Ka6, Qa7#,{Black checkmated} 1-0
274001933, Nxc7,d3, Rfd1,d2, b3,Bd6, Rxd2,Bxc7, Rc2,Rc8, Rbc1,Be5, Rxc8#,{Black checkmated} 1-0
274001713, Nce4,Nxe4, Bxe4,c6, h5,h6, Nf3,f5, hxg6,fxe4, Qxh6,exf3, Qh7#,{Black checkmated} 1-0
274001144, Ke5,e3, Qxe3,Kh7, Qb6,Kh8, Kf6,Kh7, Qc7+,Kh6, Qg7+,Kh5, Qg5#,{Black checkmated} 1-0
274000689, Nd4,Qd7, f6,gxf6, exf6,Bd6, Bh6,Kh8, Bg7+,Kg8, Nf5,c6, Nh6#,{Black checkmated} 1-0
274000113, Bd3,Bd7, Nxf6+,Qxf6, Bg5,Qe7, Bxe7,Nxe7, Qe2,h5, Qe4,Nd5, Qh7#,{Black checkmated} 1-0
273999961, Ra4,Kf5, Rxa3,Ke5, Re3+,Kd5, Rd2+,Kc5, Rc3+,Kb5, Rb2+,Ka5, Ra3#,{Black checkmated} 1-0
273999232, Qxd5,Qxe2, Qh5+,Kg8, Bd2,Rfe8, Rae1,Qd3, Ng5,Qxd2, Qh7+,Kf8, Qh8#,{Black checkmated} 1-0
273999078, Rxf1,Nxa4, e4,Qb6+, Kh1,Ne3, Qf3,Nxc4, Qf8+,Kd7, Rf7+,Ke6, Qe7#,{Black checkmated} 1-0
273998626, Nf3,exd4, Bc4,Nf6, e5,Nh5, Bxf7+,Kxf7, Ng5+,Kg6, Qd3+,Kh6, Nf7#,{Black checkmated} 1-0
273998448, Qxf6+,Kf8, Qxf4,Qd7, Qxh6+,Ke8, Nf6+,Kd8, Nxd7,Bxd7, Qf8+,Be8, Qxe8#,{Black checkmated} 1-0
273996579, Qxd3,Rxd3, Bxb7,g5, Be5,Rd2, Bc3,Rc2, Ba5,Bg7, Rfd1,Bxa1, Rd8#,{Black checkmated} 1-0
273993778, hxg5,Nxe4, Nxe4,Rxe4, Bd3,Rxa4, Qh4,Kf8, Qxh7,b6, Rde1,Bb7, Qh8#,{Black checkmated} 1-0
273991661, hxg6,h6, Qh2,Be6, e4,Rf2, Bg2,d4, Bxh6,gxh6, Qxh6,dxc3, Qh8#,{Black checkmated} 1-0
273991521, Qc2,a6, Rxb2,Qa3, Rfb1,Rfd8, Bh6,Bf5, Rb3,Qc5, Qc3,Bxh3, Qg7#,{Black checkmated} 1-0
273989640, c4,Rxe1+, Qxe1,Nf4, Bxf4,Bxf4, Qe4,Bd6, Qxh7+,Kf8, Re1,Bxa4, Qh8#,{Black checkmated} 1-0
273988815, e5,Ng4, h3,Bc5, hxg4,dxc6, Qxd8+,Kxd8, Bg5+,Kd7, O-O-O+,Ke8, Rd8#,{Black checkmated} 1-0
273986885, Rxh5,Rb1+, Kg2,Rb2+, Kh3,Rf2, Rg5+,Kh8, Rgg7,Rxa2, Rge7,Rb2, Re8#,{Black checkmated} 1-0
273986698, Be7,Rh8, Bxf6,gxf6, Nh3,Rd8, Nf4,c5, Bh3,a5, Bxf5,Bxf5, Rxd8#,{Black checkmated} 1-0
273980260, Rd8,Kh7, Qb8,Bxa2, Rxf8,Rxf8, Qxf8,g6, Qxe7+,Kg8, Bf6,h5, Qg7#,{Black checkmated} 1-0
273980097, Nc3,O-O, Bg5,Nd4, Nd5,Nxb5, Bxf6,Qe8, Qd2,Qe6, Qh6,c6, Qg7#,{Black checkmated} 1-0
273980024, Re1,g5, e4,dxe4, Nxg5,Qe7, Rxe4,Qd6, Qh5,Nf6, Qh6,Nxe4, Qxh7#,{Black checkmated} 1-0
273979792, Qd2,Nxe4, fxe4,Bg3+, hxg3,Rh8, Rd8+,Rxd8, Qxd8+,Ka7, Qc7+,Ka8, Bc6#,{Black checkmated} 1-0
