Ne5,Rac8, b3,Qa3, Qb7,Nd5, Rd3,Nb4, Re2,Qxa2+, Kc1,Rxc2+, Rxc2,Qxc2#  {White checkmated} 0-1
Nf3,a3, Bg5,f6, Bxf6,Qxf6, bxa3,Bxa3, Bxh7+,Kxh7, c3,Bf5+, Rd3,Bxd3+  {White resigns} 0-1
bxc3,a5, Bf4,Ba6, c4,Bxc4, Qxc4,dxc4, Ke2,Qe7+, Kf3,Rfe8, Rge1,Qxe1  {White resigns} 0-1
bxc3,a5, Bf4,Ba6, c4,Bxc4, Qxc4,dxc4, Ke2,Qe7+, Kf3,Rfe8, Rge1,Qxe1  {White resigns} 0-1
bxc3,a5, Bf4,Ba6, c4,Bxc4, Qxc4,dxc4, Ke2,Qe7+, Kf3,Rfe8, Rge1,Qxe1  {White resigns} 0-1
bxc3,a5, Bf4,Ba6, c4,Bxc4, Qxc4,dxc4, Ke2,Re8+, Kf3,Qd5+, Kg4,h5+  {White resigns} 0-1
bxc3,a5, Bf4,Ba6, c4,Bxc4, Qxc4,dxc4, Ke2,Re8+, Kf3,Qd5+, Kg4,h5+  {White resigns} 0-1
Nf3,a3, Bg5,f6, Bxf6,Qxf6, bxa3,Bxa3, Bxh7+,Kxh7, c3,Bf5+, Rd3,Bxd3+  {White resigns} 0-1
Nf3,a3, Bg5,f6, Bxf6,Qxf6, bxa3,Bxa3, Bxh7+,Kxh7, c3,Bf5+, Rd3,Bxd3+  {White resigns} 0-1
Kg3,Kxc3, Kf4,Kd3, f3,c3, Kf5,c2, g5,fxg5, h5,c1=Q, Ke6,Qf4  {White resigns} 0-1
Ke3,c3, Kd3,Kb2, Ke3,c2, Kf3,c1=Q, Ke2,Qf4, Kd3,Qg3+, Ke2,Qxh3  {White resigns} 0-1
Nf3,a3, Bg5,f6, Bxf6,Qxf6, bxa3,Bxa3, Bxh7+,Kxh7, c3,Bf5+, Rd3,Bxd3+  {White resigns} 0-1
Nf3,a3, Bg5,f6, Bxf6,Qxf6, bxa3,Bxa3, Bxh7+,Kxh7, c3,Bf5+, Rd3,Bxd3+  {White resigns} 0-1
Nf3,a3, Bg5,f6, Bxf6,Qxf6, bxa3,Bxa3, Bxh7+,Kxh7, c3,Bf5+, Rd3,Bxd3+  {White resigns} 0-1
Nf3,a3, Bg5,f6, Bxf6,Qxf6, bxa3,Bxa3, Bxh7+,Kxh7, c3,Bf5+, Rd3,Bxd3+  {White resigns} 0-1
Nf3,a3, Bg5,f6, Bxf6,Qxf6, bxa3,Bxa3, Bxh7+,Kxh7, c3,Bf5+, Rd3,Bxd3+  {White resigns} 0-1
Kc1,Rd8, Bd4,h6, Nh3,Rxd4, Rc8+,Kh7, Ng5+,hxg5, Rh8+,Kxh8, Rf1,Qa1#  {White checkmated} 0-1
Bxf6,Qxf6, bxa3,Bxa3, Bxh7+,Kxh7, c3,Qxc3, Ng5+,Kg6, Rd2,Qxd2, Nxe6,Qb2#  {White checkmated} 0-1
